Population,Per Capita Income,Median Household Income,Total Pop by Tenure,zip code tabulation area
23370.0,21258.0,36740.0,14760.0,27288
1807.0,28250.0,55096.0,1367.0,27291
4494.0,22524.0,47878.0,2745.0,27248
17353.0,33090.0,68428.0,13042.0,27282
8896.0,21540.0,47222.0,7047.0,27239
4391.0,31805.0,69732.0,3840.0,27243
29766.0,25526.0,42491.0,20737.0,27253
24252.0,21720.0,39382.0,11243.0,27262
53894.0,31926.0,60085.0,39973.0,27284
39860.0,21674.0,40174.0,24098.0,27292
1109.0,23605.0,65208.0,980.0,27314
7774.0,28115.0,52032.0,5865.0,27357
7285.0,52848.0,108370.0,6792.0,27310
15084.0,38332.0,92624.0,13286.0,27358
10012.0,23642.0,44536.0,7431.0,27298
26.0,-666666666.0,-666666666.0,0.0,27340
31425.0,27427.0,55842.0,21010.0,27332
2963.0,26712.0,42589.0,1981.0,27326
6327.0,23000.0,40340.0,4926.0,27306
3476.0,19533.0,34348.0,2579.0,27311
39532.0,24828.0,48056.0,25259.0,27330
5712.0,22193.0,42431.0,4093.0,27299
19776.0,33891.0,69023.0,15708.0,27312
38724.0,23897.0,41446.0,25002.0,27320
2952.0,22590.0,31209.0,2029.0,27356
1407.0,32262.0,54800.0,1136.0,27343
8514.0,32321.0,60497.0,7596.0,27301
30391.0,31786.0,58115.0,21881.0,27302
6925.0,28917.0,57743.0,5884.0,27313
6575.0,26006.0,44786.0,4930.0,27350
14551.0,25312.0,50021.0,11854.0,27370
1691.0,24360.0,47128.0,1271.0,27305
2114.0,20747.0,40089.0,1688.0,27315
6523.0,19433.0,34821.0,5195.0,27325
18865.0,22075.0,37974.0,10798.0,27344
2470.0,26265.0,50503.0,1943.0,27355
45720.0,24840.0,42261.0,30858.0,27360
7380.0,21038.0,41208.0,4602.0,27316
16215.0,25296.0,41999.0,12342.0,27317
5830.0,20609.0,40811.0,4752.0,27341
5545.0,26988.0,50471.0,4621.0,27349
8848.0,22800.0,41667.0,5213.0,27371
9324.0,30913.0,54986.0,8124.0,27376
22417.0,17853.0,42353.0,9476.0,27403
28514.0,37715.0,70771.0,20561.0,27455
49684.0,26215.0,45668.0,24521.0,27407
61797.0,23827.0,40000.0,33509.0,27406
17307.0,29363.0,42199.0,6439.0,27409
20978.0,28942.0,55760.0,15548.0,27501
18276.0,36523.0,61453.0,13699.0,27408
15435.0,23206.0,42392.0,10129.0,27504
5798.0,18568.0,32325.0,3724.0,27379
38104.0,46188.0,103673.0,30754.0,27502
6056.0,22359.0,79071.0,2547.0,27503
8643.0,29953.0,57399.0,6539.0,27377
21650.0,14590.0,31191.0,6777.0,27401
48541.0,21577.0,33841.0,22731.0,27405
55981.0,36091.0,63980.0,35523.0,27410
4667.0,22806.0,39801.0,3331.0,27544
1434.0,14241.0,31895.0,811.0,27508
11989.0,33418.0,61265.0,9447.0,27522
44970.0,32516.0,75413.0,35648.0,27526
15397.0,28122.0,50155.0,5265.0,27510
6237.0,26161.0,44848.0,4312.0,27521
20838.0,23425.0,47038.0,11879.0,27546
24666.0,21376.0,41713.0,17079.0,27537
11310.0,45690.0,95110.0,8180.0,27523
22798.0,37786.0,83481.0,18505.0,27527
800.0,21224.0,-666666666.0,0.0,27531
24162.0,45747.0,84724.0,16848.0,27517
20506.0,50262.0,105875.0,15286.0,27518
22303.0,44504.0,100099.0,19994.0,27539
52464.0,63640.0,126832.0,41341.0,27519
1544.0,19783.0,43074.0,1165.0,27507
31659.0,19284.0,69380.0,11611.0,27514
4066.0,32848.0,56735.0,3047.0,27541
44491.0,44535.0,88188.0,29964.0,27513
40116.0,31834.0,62343.0,28420.0,27520
14736.0,28529.0,50326.0,10987.0,27525
38928.0,23073.0,37580.0,22108.0,27530
32727.0,26498.0,45487.0,16985.0,27534
16574.0,17033.0,25122.0,6734.0,27536
35890.0,43540.0,96977.0,31018.0,27540
6047.0,15913.0,41069.0,2281.0,27509
6066.0,27249.0,48737.0,3942.0,27505
34916.0,31654.0,72087.0,22404.0,27511
26344.0,30764.0,58866.0,19184.0,27545
41460.0,33941.0,85639.0,26533.0,27516
13936.0,24799.0,51297.0,9362.0,27524
47683.0,31010.0,62047.0,33786.0,27529
9813.0,24748.0,45659.0,6383.0,27542
19984.0,30221.0,57407.0,15123.0,27591
1660.0,32989.0,60577.0,1397.0,27562
4941.0,27866.0,65893.0,3425.0,27581
5207.0,22384.0,36725.0,3281.0,27563
8200.0,18096.0,31886.0,5639.0,27589
1755.0,25158.0,41371.0,1320.0,27551
24609.0,25054.0,45223.0,16304.0,27565
7769.0,22296.0,43288.0,5092.0,27569
6755.0,32365.0,53875.0,6041.0,27583
16186.0,32313.0,59879.0,13079.0,27592
2404.0,21644.0,36051.0,1231.0,27553
14444.0,25344.0,49454.0,11802.0,27574
24351.0,22306.0,42982.0,13364.0,27577
156.0,25179.0,-666666666.0,112.0,27556
7070.0,33619.0,71518.0,6487.0,27572
23922.0,30046.0,55372.0,16913.0,27597
10061.0,18904.0,32266.0,2428.0,27601
30820.0,50971.0,93086.0,14920.0,27560
64368.0,39784.0,88414.0,51417.0,27587
18791.0,31301.0,62380.0,15230.0,27596
6972.0,20911.0,39659.0,4516.0,27557
2330.0,26552.0,56400.0,1913.0,27559
6125.0,45318.0,96304.0,5177.0,27571
24308.0,22188.0,43188.0,16170.0,27549
660.0,16523.0,30125.0,326.0,27555
626.0,26771.0,42031.0,306.0,27568
11203.0,17229.0,28076.0,5113.0,27573
17251.0,21909.0,38141.0,10438.0,27576
381.0,-666666666.0,-666666666.0,78.0,27582
53693.0,27468.0,60924.0,31789.0,27603
46321.0,27809.0,50540.0,16456.0,27606
33103.0,36566.0,57924.0,17769.0,27609
33242.0,41841.0,102950.0,26261.0,27614
52679.0,34156.0,64212.0,32718.0,27616
42863.0,41313.0,78709.0,30059.0,27615
18380.0,50100.0,80471.0,9954.0,27617
29067.0,32701.0,74786.0,11054.0,27607
75991.0,24342.0,48897.0,41136.0,27610
11343.0,49672.0,106630.0,8220.0,27608
37384.0,41738.0,73402.0,21589.0,27612
43484.0,45170.0,87774.0,32213.0,27613
46908.0,29415.0,54081.0,25981.0,27604
5069.0,42253.0,58770.0,2133.0,27605
7129.0,25184.0,42380.0,4440.0,27817
281.0,17422.0,30625.0,233.0,27819
2598.0,21126.0,40134.0,1985.0,27820
2735.0,18286.0,31685.0,1835.0,27812
2373.0,19408.0,42091.0,1806.0,27816
4702.0,21328.0,39485.0,3523.0,27809
6786.0,23223.0,46087.0,4458.0,27807
1173.0,41240.0,74250.0,1030.0,27709
37522.0,24538.0,43592.0,20741.0,27704
21168.0,42646.0,81773.0,19364.0,27712
19187.0,23448.0,46214.0,12541.0,27803
29804.0,25885.0,46002.0,17644.0,27804
49816.0,32011.0,59324.0,31078.0,27703
4053.0,18922.0,39863.0,2968.0,27805
1810.0,22258.0,43810.0,1624.0,27808
51022.0,29652.0,50262.0,20918.0,27707
20279.0,17981.0,30241.0,9941.0,27801
8225.0,14932.0,31901.0,5254.0,27823
2162.0,24648.0,49688.0,2084.0,27814
1344.0,18750.0,34028.0,1091.0,27818
8508.0,25223.0,46591.0,6597.0,27822
49426.0,29679.0,50734.0,21108.0,27705
52711.0,40622.0,73808.0,31391.0,27713
367.0,20556.0,22619.0,286.0,27821
23027.0,21569.0,32940.0,6447.0,27701
2666.0,17309.0,38056.0,2187.0,27806
4510.0,19912.0,40574.0,2798.0,27810
